# HTTP Level 3 Scenario - DNS Resolution with ARP and Firewall
# Format: step;device;image(opt);wled(opt);time_sec(default=5);desc(opt);

35;firewall;Scenario_1_ORF_Phase3_NWTLab/033_ACL@firewall.png;;;Die Anfrage ist erlaubt und darf weiter.;
36;firewall;Scenario_1_ORF_Phase3_NWTLab/034_NAT@firewall.png;;;Die Firewall überprüft, ob für den ausgehenden Datenverkehr eine NAT aktiv ist. Nur so kann die private IP-Adresse des Clients das Internet nutzen.;
37;firewall;Scenario_1_ORF_Phase3_NWTLab/035_NAT@firewall.png;firewall>server;;Die Firewall bestätigt: NAT ist aktiviert. Die Quelladresse des Clients wird maskiert – er tritt nach außen mit der Adresse 192.168.0.100 auf.;
38;server;Scenario_1_ORF_Phase3_NWTLab/038_TCP_SYN@Server.png;;;Der Server empfängt das SYN-Paket.;
39;server;Scenario_1_ORF_Phase3_NWTLab/039_TCP_SYNACK@Server.png;server>firewall;;Der Server antwortet mit SYN/ACK, um die Verbindung zu bestätigen.;
40;firewall;Scenario_1_ORF_Phase3_NWTLab/040_TCP_SYNACK@Transfer.png;;;Das SYN/ACK-Paket tritt den Rückweg zum Client an.;
41;firewall;Scenario_1_ORF_Phase3_NWTLab/041_ACL@firewall.png;;;Die Firewall prüft erneut, ob diese Antwort erlaubt ist.;
42;firewall;Scenario_1_ORF_Phase3_NWTLab/042_ACL@firewall.png;;;Das Paket wird erlaubt: Es gehört zu einem bestehenden Verbindungsaufbau (Stateful Traffic).;
43;firewall;Scenario_1_ORF_Phase3_NWTLab/043_NAT@firewall.png;firewall>router;;Die Firewall übersetzt die Zieladresse zurück (SNAT).;
44;router;Scenario_1_ORF_Phase3_NWTLab/040_TCP_SYNACK@Transfer.png;router>switch;;Das SYN/ACK-Paket tritt den Rückweg zum Client an.;
45;switch;Scenario_1_ORF_Phase3_NWTLab/040_TCP_SYNACK@Transfer.png;switch>main;;Das SYN/ACK-Paket tritt den Rückweg zum Client an.;
46;main;Scenario_1_ORF_Phase3_NWTLab/045_TCP_SYNACK@Client.png;;;Der Client erhält die SYN/ACK-Antwort des Servers;
47;main;Scenario_1_ORF_Phase3_NWTLab/046_TCP_ACK@Client.png;main>switch;;Der Client bestätigt mit einem ACK das Zustandekommen der Verbindung.;
48;switch;Scenario_1_ORF_Phase3_NWTLab/047_TCP_ACK@Transfer.png;switch>router;;Das ACK-Paket wird über Switch übertragen;
49;router;Scenario_1_ORF_Phase3_NWTLab/047_TCP_ACK@Transfer.png;router>firewall;;Das ACK-Paket wird über Router übertragen;
50;firewall;Scenario_1_ORF_Phase3_NWTLab/047_TCP_ACK@Transfer.png;firewall>server;;Das ACK-Paket wird über Router übertragen;
51;server;Scenario_1_ORF_Phase3_NWTLab/051_TCP_ACK@Server.png;;;Der Server empfängt die Bestätigung (ACK).;
52;main;Scenario_1_ORF_Phase3_NWTLab/052_TCP_established@Client.png;;;TEAM: wär geil, wenn wir hier das LED durchgehend kurz beleuchten könnten;
52;server;Scenario_1_ORF_Phase3_NWTLab/052_TCP_established@Server.png;;;TEAM: wär geil, wenn wir hier das LED durchgehend kurz beleuchten könnten;
60;main;Scenario_1_ORF_Phase3_NWTLab/060_TLS_Clienthello@Client.png;main>switch;;Der Client startet die verschlüsselte Verbindung mit einem „ClientHello".;
61;switch;Scenario_1_ORF_Phase3_NWTLab/061_TLS_Clienthello@Transfer.png;switch>router;;Die TLS-Anfrage wird durch das Netzwerk weitergeleitet.;
62;router;Scenario_1_ORF_Phase3_NWTLab/061_TLS_Clienthello@Transfer.png;router>firewall;;Die TLS-Anfrage wird durch das Netzwerk weitergeleitet.;
63;firewall;Scenario_1_ORF_Phase3_NWTLab/061_TLS_Clienthello@Transfer.png;firewall>server;;Die TLS-Anfrage wird durch das Netzwerk weitergeleitet.;
64;server;Scenario_1_ORF_Phase3_NWTLab/064_TLS_Clienthello@Server.png;;;Der Server empfängt das „ClientHello".;
65;server;Scenario_1_ORF_Phase3_NWTLab/065_TLS_Serverhello@Server.png;;;Der Server antwortet mit einem „ServerHello".;
66;server;Scenario_1_ORF_Phase3_NWTLab/066_TLS_ServerCertificate@Server.png;server>firewall;;Der Server sendet sein digitales Zertifikat.;
67;firewall;Scenario_1_ORF_Phase3_NWTLab/067_TLS_ServerhelloCert@Transfer.png;firewall>router;;Das Zertifikat wird an den Client weitergereicht.;
68;router;Scenario_1_ORF_Phase3_NWTLab/067_TLS_ServerhelloCert@Transfer.png;router>switch;;Das Zertifikat wird an den Client weitergereicht.;
69;switch;Scenario_1_ORF_Phase3_NWTLab/067_TLS_ServerhelloCert@Transfer.png;switch>main;;Das Zertifikat wird an den Client weitergereicht.;
70;main;Scenario_1_ORF_Phase3_NWTLab/067_TLS_ServerhelloCert@Transfer.png;;;Das Zertifikat wird an den Client weitergereicht.;
71;main;Scenario_1_ORF_Phase3_NWTLab/071_TLS_Certcheck@Client.png;;;Der Client prüft die Echtheit und Gültigkeit des Zertifikats.;
72;main;Scenario_1_ORF_Phase3_NWTLab/072_TLS_Keyderivation@Client.png;;;Der Client erzeugt Schlüsselmaterial für die Verschlüsselung.;
72;server;Scenario_1_ORF_Phase3_NWTLab/072_TLS_Keyderivation@Server.png;;;Auch der Server erstellt den gemeinsamen Sitzungsschlüssel.;
73;main;Scenario_1_ORF_Phase3_NWTLab/073_TLS_Finish@Client.png;;;TEAM: wär geil, wenn wir hier das LED durchgehend kurz beleuchten könnten;
73;server;Scenario_1_ORF_Phase3_NWTLab/073_TLS_Finish@Server.png;;;TEAM: wär geil, wenn wir hier das LED durchgehend kurz beleuchten könnten;
80;main;Scenario_1_ORF_Phase3_NWTLab/080_HTTPget@Client.png;main>switch;;Ein Datenpaket mit einer Anfrage nach einer Webseite wurde vom Gerät erstellt. Dieses Paket wird jetzt an den Internetrouter (Gateway) gesendet.;
81;switch;Scenario_1_ORF_Phase3_NWTLab/081_HTTPget@Transfer.png;switch>router;;Das Datenpaket erreicht nun den Netzwerk-Switch. Dieser ist nicht das Gateway, daher leitet er es weiter zum Gateway.;
82;router;Scenario_1_ORF_Phase3_NWTLab/081_HTTPget@Transfer.png;router>firewall;;Paket durchläuft den Router. Dieser kennt die Route ins Internet und übermittelt es an die Firewall.;
83;firewall;Scenario_1_ORF_Phase3_NWTLab/081_HTTPget@Transfer.png;firewall>server;;Die Firewall ist der Übergang ins Internet. Sie überprüft, ob die Kommunikation erlaubt ist und überprüft ebenfalls auf schädliche Inhalte.;
84;server;Scenario_1_ORF_Phase3_NWTLab/084_HTTPget@Server.png;;;Die HTTP GET-Anfrage erreicht nun den Webserver und wird verarbeitet.;
85;server;Scenario_1_ORF_Phase3_NWTLab/085_QueryPage@WebserverORF.png;;;Der Webserver durchsucht die Datenbank und führt eine Abfrage für /index.html aus.;
86;server;Scenario_1_ORF_Phase3_NWTLab/086_FoundPage@WebserverORF.png;;;Der Webserver hat den Inhalt gefunden und bereitet ihn als Webseite vor.;
87;server;Scenario_1_ORF_Phase3_NWTLab/087_DeliverHTTPokWithContent@WebserverORF.png;server>firewall;;Das HTTP OK wird nun übermittelt und inkludiert den Content der Website.;
88;firewall;Scenario_1_ORF_Phase3_NWTLab/088_HTTPok@Transfer.png;firewall>router;;Das Paket trifft nun wieder bei der Firewall ein und wird überprüft.;
89;router;Scenario_1_ORF_Phase3_NWTLab/088_HTTPok@Transfer.png;;;Die Firewall hat das Paket an den Router übermittelt, welcher die Route retour zum Client kennt.;
90;router;Scenario_1_ORF_Phase3_NWTLab/089_Enrypted@Router.png;router>switch;;Zur Demonstration: Der Netzwerkverkehr ist VERSCHLÜSSELT. Ein Router, bzw. andere Parteien die mitlauschen, können den Traffic nicht interpretieren!;
91;switch;Scenario_1_ORF_Phase3_NWTLab/088_HTTPok@Transfer.png;switch>main;;Der Switch kennt die lokale MAC-Adresse des Clients und weiß, an welchem Port dieser anliegt. Er leitet das Paket einfach weiter.;
92;main;Scenario_1_ORF_Phase3_NWTLab/091_HTTPok@Client.png;switch>main;;Das Paket erreicht nun den Client. Die Webseite kann nun geladen und angezeigt werden.;
94;main;Scenario_1_ORF_Phase3_NWTLab/093_HTMLCode@Client.png;;;Der HTML-Code wird nun vom Browser interpretiert und die Webseite dargestellt.;
95;main;Scenario_1_ORF_Phase3_NWTLab/094_Website@Client.png;;;Das Ergebnis ist eine vollständig geladene Webseite welche dem Nutzer nun im Browser angezeigt wird.;
100;main;999_finish.png;;;;
