# HTTP Level 2 Scenario - TCP and TLS Handshake
# Format: step;device;image(opt);wled(opt);time_sec(default=5);desc(opt);

37;firewall;Scenario_1_ORF_Phase2_Krypto/067_TLS_ServerhelloCert@Transfer.png;firewall>router;;Das Zertifikat wird an den Client weitergereicht.;
38;router;Scenario_1_ORF_Phase2_Krypto/067_TLS_ServerhelloCert@Transfer.png;router>switch;;Das Zertifikat wird an den Client weitergereicht.;
39;switch;Scenario_1_ORF_Phase2_Krypto/067_TLS_ServerhelloCert@Transfer.png;switch>main;;Das Zertifikat wird an den Client weitergereicht.;
40;main;Scenario_1_ORF_Phase2_Krypto/067_TLS_ServerhelloCert@Transfer.png;;;Das Zertifikat wird an den Client weitergereicht.;
41;main;Scenario_1_ORF_Phase2_Krypto/071_TLS_Certcheck@Client.png;;;Der Client prüft die Echtheit und Gültigkeit des Zertifikats.;
42;main;Scenario_1_ORF_Phase2_Krypto/072_TLS_Keyderivation@Client.png;;;Der Client erzeugt Schlüsselmaterial für die Verschlüsselung.;
42;server;Scenario_1_ORF_Phase2_Krypto/072_TLS_Keyderivation@Server.png;;;Auch der Server erstellt den gemeinsamen Sitzungsschlüssel.;
43;main;Scenario_1_ORF_Phase2_Krypto/073_TLS_Finish@Client.png;;;TEAM: wär geil, wenn wir hier das LED durchgehend kurz beleuchten könnten;
43;server;Scenario_1_ORF_Phase2_Krypto/073_TLS_Finish@Server.png;;;TEAM: wär geil, wenn wir hier das LED durchgehend kurz beleuchten könnten;
50;main;Scenario_1_ORF_Phase2_Krypto/080_HTTPget@Client.png;main>switch;;Ein Datenpaket mit einer Anfrage nach einer Webseite wurde vom Gerät erstellt. Dieses Paket wird jetzt an den Internetrouter (Gateway) gesendet.;
51;switch;Scenario_1_ORF_Phase2_Krypto/081_HTTPget@Transfer.png;switch>router;;Das Datenpaket erreicht nun den Netzwerk-Switch. Dieser ist nicht das Gateway, daher leitet er es weiter zum Gateway.;
52;router;Scenario_1_ORF_Phase2_Krypto/081_HTTPget@Transfer.png;router>firewall;;Paket durchläuft den Router. Dieser kennt die Route ins Internet und übermittelt es an die Firewall.;
53;firewall;Scenario_1_ORF_Phase2_Krypto/081_HTTPget@Transfer.png;firewall>server;;Die Firewall ist der Übergang ins Internet. Sie überprüft, ob die Kommunikation erlaubt ist und überprüft ebenfalls auf schädliche Inhalte.;
54;server;Scenario_1_ORF_Phase2_Krypto/084_HTTPget@Server.png;;;Die HTTP GET-Anfrage erreicht nun den Webserver und wird verarbeitet.;
55;server;Scenario_1_ORF_Phase2_Krypto/085_QueryPage@WebserverORF.png;;;Der Webserver durchsucht die Datenbank und führt eine Abfrage für /index.html aus.;
56;server;Scenario_1_ORF_Phase2_Krypto/086_FoundPage@WebserverORF.png;;;Der Webserver hat den Inhalt gefunden und bereitet ihn als Webseite vor.;
57;server;Scenario_1_ORF_Phase2_Krypto/087_DeliverHTTPokWithContent@WebserverORF.png;server>firewall;;Das HTTP OK wird nun übermittelt und inkludiert den Content der Website.;
58;firewall;Scenario_1_ORF_Phase2_Krypto/088_HTTPok@Transfer.png;firewall>router;;Das Paket trifft nun wieder bei der Firewall ein und wird überprüft.;
59;router;Scenario_1_ORF_Phase2_Krypto/088_HTTPok@Transfer.png;;;Die Firewall hat das Paket an den Router übermittelt, welcher die Route retour zum Client kennt.;
60;router;Scenario_1_ORF_Phase2_Krypto/089_Enrypted@Router.png;router>switch;;Zur Demonstration: Der Netzwerkverkehr ist VERSCHLÜSSELT. Ein Router, bzw. andere Parteien die mitlauschen, können den Traffic nicht interpretieren!;
61;switch;Scenario_1_ORF_Phase2_Krypto/088_HTTPok@Transfer.png;switch>main;;Der Switch kennt die lokale MAC-Adresse des Clients und weiß, an welchem Port dieser anliegt. Er leitet das Paket einfach weiter.;
62;main;Scenario_1_ORF_Phase2_Krypto/091_HTTPok@Client.png;switch>main;;Das Paket erreicht nun den Client. Die Webseite kann nun geladen und angezeigt werden.;
63;main;Scenario_1_ORF_Phase2_Krypto/093_HTMLCode@Client.png;;;Der HTML-Code wird nun vom Browser interpretiert und die Webseite dargestellt.;
64;main;Scenario_1_ORF_Phase2_Krypto/094_Website@Client.png;;;Das Ergebnis ist eine vollständig geladene Webseite welche dem Nutzer nun im Browser angezeigt wird.;
70;main;999_finish.png;;;;
